19120057,ABC2,HHK,HP3,HP1000,SSC,TTD,TUD
19120059,ABC2,HHK,HP3,HP1000,SSC,TTD,TUD
19120061,ABC2,HHK,HP3,HP1000,SSC,TTD,TUD
19120063,ABC2,HHK,HP3,HP1000,SSC,TTD,TUD
19120065,ABC2,HHK,HP3,HP1000,SSC,TTD,TUD
19120067,ABC2,HHK,HP3,HP1000,SSC,TTD,TUD
19120069,ABC2,HHK,HP3,HP1000,SSC,TTD,TUD
19120071,ABC2,HHK,HP3,HP1000,SSC,TTD,TUD
19120073,ABC2,HHK,HP3,HP1000,SSC,TTD,TUD
19120075,ABC2,HHK,HP3,HP1000,SSC,TTD,TUD
19120077,ABC2,HHK,HP3,HP1000,SSC,TTD,TUD
19120079,ABC2,HHK,HP3,HP1000,SSC,TTD,TUD
19120081,ABC2,HHK,HP3,HP1000,SSC,TTD,TUD
19120083,ABC2,HHK,HP3,HP1000,SSC,TTD,TUD
19120085,ABC2,HHK,HP3,HP1000,SSC,TTD,TUD
19120087,ABC2,HHK,HP3,HP1000,SSC,TTD,TUD
19120089,ABC2,HHK,HP3,HP1000,SSC,TTD,TUD
19120091,ABC2,HHK,HP3,HP1000,SSC,TTD,TUD
19120093,ABC2,HHK,HP3,HP1000,SSC,TTD,TUD
19120095,ABC2,HHK,HP3,HP1000,SSC,TTD,TUD
19120097,ABC2,HHK,HP3,HP1000,SSC,TTD,TUD
19120099,ABC2,HHK,HP3,HP1000,SSC,TTD,TUD
19120101,ABC2,HHK,HP3,HP1000,SSC,TTD,TUD
19120103,ABC2,HHK,HP3,HP1000,SSC,TTD,TUD
19120105,ABC2,HHK,HP3,HP1000,SSC,TTD,TUD
19120107,ABC2,HHK,HP3,HP1000,SSC,TTD,TUD
19120109,ABC2,HHK,HP3,HP1000,SSC,TTD,TUD
19120111,ABC2,HHK,HP3,HP1000,SSC,TTD,TUD
19120113,ABC2,HHK,HP3,HP1000,SSC,TTD,TUD
19120115,ABC2,HHK,HP3,HP1000,SSC,TTD,TUD
