20120001,ABC4,HHK,MMT,MTH007,SHS,TTK,TTT,TUD
20120002,ABC4,HHK,MMT,MTH007,SHS,TTK,TTT,TUD
20120003,ABC4,HHK,MMT,MTH007,SHS,TTK,TTT,TUD
20120004,ABC4,HHK,MMT,MTH007,SHS,TTK,TTT,TUD
20120005,ABC4,HHK,MMT,MTH007,SHS,TTK,TTT,TUD
20120006,ABC4,HHK,MMT,MTH007,SHS,TTK,TTT,TUD
20120007,ABC4,HHK,MMT,MTH007,SHS,TTK,TTT,TUD
20120008,ABC4,HHK,MMT,MTH007,SHS,TTK,TTT,TUD
20120009,ABC4,HHK,MMT,MTH007,SHS,TTK,TTT,TUD
20120010,ABC4,HHK,MMT,MTH007,SHS,TTK,TTT,TUD
20120011,ABC4,HHK,MMT,MTH007,SHS,TTK,TTT,TUD
20120012,ABC4,HHK,MMT,MTH007,SHS,TTK,TTT,TUD
20120013,ABC4,HHK,MMT,MTH007,SHS,TTK,TTT,TUD
20120014,ABC4,HHK,MMT,MTH007,SHS,TTK,TTT,TUD
20120015,ABC4,HHK,MMT,MTH007,SHS,TTK,TTT,TUD
20120016,ABC4,HHK,MMT,MTH007,SHS,TTK,TTT,TUD
20120017,ABC4,HHK,MMT,MTH007,SHS,TTK,TTT,TUD
20120018,ABC4,HHK,MMT,MTH007,SHS,TTK,TTT,TUD
20120019,ABC4,HHK,MMT,MTH007,SHS,TTK,TTT,TUD
20120020,ABC4,HHK,MMT,MTH007,SHS,TTK,TTT,TUD
20120021,ABC4,HHK,MMT,MTH007,SHS,TTK,TTT,TUD
20120022,ABC4,HHK,MMT,MTH007,SHS,TTK,TTT,TUD
20120023,ABC4,HHK,MMT,MTH007,SHS,TTK,TTT,TUD
20120024,ABC4,HHK,MMT,MTH007,SHS,TTK,TTT,TUD
20120025,ABC4,HHK,MMT,MTH007,SHS,TTK,TTT,TUD
20120026,ABC4,HHK,MMT,MTH007,SHS,TTK,TTT,TUD
20120027,ABC4,HHK,MMT,MTH007,SHS,TTK,TTT,TUD
20120028,ABC4,HHK,MMT,MTH007,SHS,TTK,TTT,TUD
20120029,ABC4,HHK,MMT,MTH007,SHS,TTK,TTT,TUD
20120030,ABC4,HHK,MMT,MTH007,SHS,TTK,TTT,TUD
