STT,CLASS NAME,MAJOR,NUMBER OF STUDENT,YEAR
1,20CTT1,Cong nghe thong tin 1,100,2020
2,20CTT2,Cong nghe thong tin 2,100,2020
3,20CTT3,Cong nghe thong tin 3,100,2020
4,20CTT4,Cong nghe thong tin 4,100,2020
5,20CTT5,Cong nghe thong tin 5,100,2020
6,20CTT6,Cong nghe thong tin 6,100,2020
7,20CTT7,Cong nghe thong tin 7,100,2020
8,20CTT8,Cong nghe thong tin 8,100,2021
9,20CTT9,Cong nghe thong tin 9,100,2022
10,20CTT10,Cong nghe thong tin 10,100,2023
11,20CTT11,Cong nghe thong tin 11,100,2024
12,20CTT12,Cong nghe thong tin 12,100,2025
13,20CTT13,Cong nghe thong tin 13,100,2026
14,20CTT14,Cong nghe thong tin 14,100,2027
15,20CTT15,Cong nghe thong tin 15,100,2028
16,20CTT16,Cong nghe thong tin 16,100,2029
17,20CTT17,Cong nghe thong tin 17,100,2030
18,20CTT18,Cong nghe thong tin 18,100,2031
19,20CTT19,Cong nghe thong tin 19,100,2032
20,20CTT20,Cong nghe thong tin 20,100,2033
21,20CTT21,Cong nghe thong tin 21,100,2034
22,20CTT22,Cong nghe thong tin 22,100,2035
