ID,COURSE NAME,TEACHER NAME,NUMBER OF CREDITS,MAX STUDENT,DAY,SESSION1,SESSION2
HHK,Moi truong,Nguyen Cao,4,200,TUS,S1,S3
HHS,Tin hoc,Nguyen Thi D,2,200,WED,S1,S4
HP3,Nang cao,Le Van Ngoc,3,200,FRI,S1,S2
PLDC,Phap luat dai cuong,Le Ngoc Van,3,200,TUS,S3,S7
SHK,Sinh huu co,Phan Ngoc Tinh,3,200,TUS,S4,S8
SHS,Dong vat hoc,Le Van Hop,3,200,MON,S7,S3
PHY02,Vat li 2,Thuy Duong,3,200,MON,S5,S9
CHE02,Hoa 2,Le Day Hoa,3,200,TUS,S2,S5
SSC,Thuc vat hoc,Le Van Hop,3,200,THU,S1,S7
TLDC,Tam li dai cuong,Thien An,2,200,THU,S1,S5
CSC05,Co so nganh,Phan Tuan Dung,2,200,FRI,S1,S4
KTDC,Kinh te dai cuong,Le Van Thu,4,200,MON,S1,S4
HP1000,Hoc phan moi,Pham Xuan,4,200,TUS,S5,S9
MMT,Mang may tinh,Le Van Ngoc,4,200,WED,S2,S4
MTH007,Toan roi rac,Nguyen Nhut Hung,4,200,FRI,S4,S7
