ID,COURSE NAME,TEACHER NAME,NUMBER OF CREDITS,MAX STUDENT,DAY,SESSION1,SESSION2
TTK,Toan giai tich,nguyen cao dang,4,200,TUS,S1,S3
TTT,The duc,nguyen van a,3,200,MON,S2,S4
TUD,Toan to hop, Nguyen Thi D,2,200,WED,S1,S4
TLDC,Tam li dai cuong,Le van chanh 2,3,200,WED,S2,S5
CSC05,Co so nganh,Le van chanh 4,3,200,FRI,S4,S7
KTDC,Kinh te dai cuong,Le Van Ngoc,3,200,FRI,S1,S2
HP1000,Hoc phan moi,Le Ngoc Van,3,200,TUS,S3,S7
MMT,Mang may tinh,Le Van Hop,3,200,MON,S7,S3
MTH007,Toan roi rac,Thuy Duong,3,200,MON,S5,S9
HHC,Hoa huu co,le Day Hoa,3,200,TUS,S2,S5
ABC4,Tieng anh ,Le Van Hop,3,200,THU,S1,S7
HCM,Tu tuong HCM,Thien An,2,200,THU,S1,S5
ABC2,Tieng trung,Le Van Thu,4,200,MON,S1,S4
CHE01,Hoa 1,Pham Xuan,4,200,TUS,S5,S9
PHY01,Vat li 1,Le Van Ngoc,4,200,WED,S2,S4
PHY02,Vat li 2,Nguyen Nhut Hung,4,200,FRI,S4,S7
CHE02,Hoa 2,Thien An,3,200,SAT,S5,S8
SSC,Thuc vat hoc,Nguyen Van D,3,200,WED,S6,S9
PLDC,Phap luat dai cuong,Nguyen Van E,3,200,MON,S7,S10
SHK,Sinh huu co,Nguyen Van F,3,200,TUE,S8,S11
SHS,Dong vat hoc,Nguyen Van T,3,200,WED,S9,S12
