19170020,MMT,PLDC,SHS
19170021,MMT,PLDC,SHS
19170022,MMT,PLDC,SHS
19170023,MMT,PLDC,SHS
19170024,MMT,PLDC,SHS
19170025,MMT,PLDC,SHS
19170026,MMT,PLDC,SHS
19170027,MMT,PLDC,SHS
19170028,MMT,PLDC,SHS
19170029,MMT,PLDC,SHS
19170030,MMT,PLDC,SHS
19170031,MMT,PLDC,SHS
19170032,MMT,PLDC,SHS
19170033,MMT,PLDC,SHS
19170034,MMT,PLDC,SHS
19170035,MMT,PLDC,SHS
19170036,MMT,PLDC,SHS
19170037,MMT,PLDC,SHS
19170038,MMT,PLDC,SHS
19170039,MMT,PLDC,SHS
19170040,MMT,PLDC,SHS
19170041,MMT,PLDC,SHS
19170042,MMT,PLDC,SHS
19170043,MMT,PLDC,SHS
19170044,MMT,PLDC,SHS
19170045,MMT,PLDC,SHS
19170046,MMT,PLDC,SHS
19170047,MMT,PLDC,SHS
19170048,MMT,PLDC,SHS
19170049,MMT,PLDC,SHS
