19120057,HHC,MTH007,SHK,TTK
19120059,HHC,MTH007,SHK,TTK
19120061,HHC,MTH007,SHK,TTK
19120063,HHC,MTH007,SHK,TTK
19120065,HHC,MTH007,SHK,TTK
19120067,HHC,MTH007,SHK,TTK
19120069,HHC,MTH007,SHK,TTK
19120071,HHC,MTH007,SHK,TTK
19120073,HHC,MTH007,SHK,TTK
19120075,HHC,MTH007,SHK,TTK
19120077,HHC,MTH007,SHK,TTK
19120079,HHC,MTH007,SHK,TTK
19120081,HHC,MTH007,SHK,TTK
19120083,HHC,MTH007,SHK,TTK
19120085,HHC,MTH007,SHK,TTK
19120087,HHC,MTH007,SHK,TTK
19120089,HHC,MTH007,SHK,TTK
19120091,HHC,MTH007,SHK,TTK
19120093,HHC,MTH007,SHK,TTK
19120095,HHC,MTH007,SHK,TTK
19120097,HHC,MTH007,SHK,TTK
19120099,HHC,MTH007,SHK,TTK
19120101,HHC,MTH007,SHK,TTK
19120103,HHC,MTH007,SHK,TTK
19120105,HHC,MTH007,SHK,TTK
19120107,HHC,MTH007,SHK,TTK
19120109,HHC,MTH007,SHK,TTK
19120111,HHC,MTH007,SHK,TTK
19120113,HHC,MTH007,SHK,TTK
19120115,HHC,MTH007,SHK,TTK
