ID,COURSE NAME,TEACHER NAME,NUMBER OF CREDITS,MAX STUDENT,DAY,SESSION1,SESSION2
PHY02,Vat li 2,nguyen cao dang,4,200,TUS,S1,S3
CHE02,Hoa 2,nguyen van a,3,200,MON,S2,S4
SSC,Thuc vat hoc, Nguyen Thi D,2,200,WED,S1,S4
TTK,Toan giai tich,Le van chanh 2,3,200,WED,S2,S5
TTT,The duc,Le van chanh 4,3,200,FRI,S4,S7
TUD,Toan to hop,Le Van Ngoc,3,200,FRI,S1,S2
HHK,Moi truong,Le Ngoc Van,3,200,TUS,S3,S7
HHS,Tin hoc,Le Van Hop,3,200,MON,S7,S3
HP3,Nang cao,Thuy Duong,3,200,MON,S5,S9
ABC2,Tieng trung,le Day Hoa,3,200,TUS,S2,S5
CHE01,Hoa 1,Le Van Hop,3,200,THU,S1,S7
PHY01,Vat li 1,Thien An,2,200,THU,S1,S5
PLDC,Phap luat dai cuong,Le Van Thu,4,200,MON,S1,S4
SHK,Sinh huu co,Pham Xuan,4,200,TUS,S5,S9
SHS,Dong vat hoc,Le Van Ngoc,4,200,WED,S2,S4
HHC,Hoa huu co,Nguyen Nhut Hung,4,200,FRI,S4,S7
ABC4,Tieng anh ,Phan Nguyen,4,200,SAT,S5,S8
HCM,Tu tuong HCM,Nguyen Trung,4,200,WED,S6,S9
HP1000,Hoc phan moi,Tran Thanh,4,200,MON,S7,S10
MMT,Mang may tinh,Mai Thanh Hai,4,200,TUE,S8,S11
MTH007,Toan roi rac,Khong Van D,4,200,WED,S9,S12
